name_orthographic,lowercase_name,typographic_cleaned_name
toile basin de coton commune,toile basin de coton commune,toile basin de coton commune
toile basine,toile basine,toile basine
toile batanony,toile batanony,toile batanony
toile batiste brochée,toile batiste brochée,toile batiste brochee
toile batiste ou toilettes,toile batiste ou toilettes,toile batiste ou toilettes
toile de Barrois,toile de barrois,toile de barrois
toile basin brodé en soie et or,toile basin brodé en soie et or,toile basin brode en soie et or
toile basin commun,toile basin commun,toile basin commun
toile basin de Rouen,toile basin de rouen,toile basin de rouen
toile basin fin,toile basin fin,toile basin fin
toile basin gros,toile basin gros,toile basin gros
toile bem ???,toile bem ???,toile bem ???
toile bem à voile,toile bem à voile,toile bem a voile
toile bem de Vimoutiers,toile bem de vimoutiers,toile bem de vimoutiers
toile bétilles,toile bétilles,toile betilles
toile birampots,toile birampots,toile birampots
toile blancard cirée large,toile blancard cirée large,toile blancard ciree large
toile blancard de chanvre,toile blancard de chanvre,toile blancard de chanvre
toile blancard de lin,toile blancard de lin,toile blancard de lin
toile blancard lin,toile blancard lin,toile blancard lin
toile blanche à étoupe,toile blanche à étoupe,toile blanche a etoupe
toile blanche cirée,toile blanche cirée,toile blanche ciree
toile blanche de coton fine,toile blanche de coton fine,toile blanche de coton fine
toile blanche de ménage,toile blanche de ménage,toile blanche de menage
toile blanche et rouge,toile blanche et rouge,toile blanche et rouge
toile blanche fine de coton,toile blanche fine de coton,toile blanche fine de coton
toile blanche ordre,toile blanche ordre,toile blanche ordre
toile blanche pièces de 20 aunes,toile blanche pièces de 20 aunes,toile blanche pieces de 20 aunes
toile blanchie,toile blanchie,toile blanchie
toile bocadille,toile bocadille,toile bocadille
toile bocadillo,toile bocadillo,toile bocadillo
toile boelans,toile boelans,toile boelans
toile bonnets,toile bonnets,toile bonnets
toile boulange,toile boulange,toile boulange
toile bourlegambis,toile bourlegambis,toile bourlegambis
toile branle imitant celles des Indes,toile branle imitant celles des indes,toile branle imitant celles des indes
toile Bretagne crée,toile bretagne crée,toile bretagne cree
toile Bretagne de brin,toile bretagne de brin,toile bretagne de brin
toile Bretagne Locronan,toile bretagne locronan,toile bretagne locronan
toile Bretagne diverses,toile bretagne diverses,toile bretagne diverses
toile brin 3/4 Combourg,toile brin 3/4 combourg,toile brin 3/4 combourg
toile bueadille,toile bueadille,toile bueadille
toile ca ???,toile ca ???,toile ca ???
toile cacanava,toile cacanava,toile cacanava
toile cadéas,toile cadéas,toile cadeas
toile calias,toile calias,toile calias
toile carrée,toile carrée,toile carree
toile carotte double,toile carotte double,toile carotte double
toile carotte simple,toile carotte simple,toile carotte simple
toile carreaux,toile carreaux,toile carreaux
toile carotte,toile carotte,toile carotte
toile casse,toile casse,toile casse
toile casselis,toile casselis,toile casselis
toile ce chasse,toile ce chasse,toile ce chasse
toile cerda,toile cerda,toile cerda
toile céruse,toile céruse,toile ceruse
toile chanvre,toile chanvre,toile chanvre
toile chanvre blanche,toile chanvre blanche,toile chanvre blanche
toile chapilas,toile chapilas,toile chapilas
toile chebiny,toile chebiny,toile chebiny
toile chitte,toile chitte,toile chitte
toile Cholet à carreaux,toile cholet à carreaux,toile cholet a carreaux
toile cirée 3/4,toile cirée 3/4,toile ciree 3/4
toile cirée aune,toile cirée aune,toile ciree aune
toile cirée et lustrée,toile cirée et lustrée,toile ciree et lustree
toile cirée large,toile cirée large,toile ciree large
toile cirée pour paravent,toile cirée pour paravent,toile ciree pour paravent
toile cochelis,toile cochelis,toile cochelis
toile coffres,toile coffres,toile coffres
toile colette,toile colette,toile colette
toile commune de 25 aunes,toile commune de 25 aunes,toile commune de 25 aunes
toile cordeillat,toile cordeillat,toile cordeillat
toile corot double,toile corot double,toile corot double
toile corot simple,toile corot simple,toile corot simple
toile coton à fleurs,toile coton à fleurs,toile coton a fleurs
toile coton et fil,toile coton et fil,toile coton et fil
toile coton fil et coton,toile coton fil et coton,toile coton fil et coton
toile coton fi et coton,toile coton fi et coton,toile coton fi et coton
toile coton rayée,toile coton rayée,toile coton rayee
toile coton rayée ou unie,toile coton rayée ou unie,toile coton rayee ou unie
toile coupis imitant celle des Indes,toile coupis imitant celle des indes,toile coupis imitant celle des indes
toile coutil fil et laine,toile coutil fil et laine,toile coutil fil et laine
toile coutil pour lit,toile coutil pour lit,toile coutil pour lit
toile craie,toile craie,toile craie
toile crée entretarge,toile crée entretarge,toile cree entretarge
toile crée gratienne,toile crée gratienne,toile cree gratienne
toile crée margé,toile crée margé,toile cree marge
toile crée pièces de 50 aunes,toile crée pièces de 50 aunes,toile cree pieces de 50 aunes
toile crée rayée,toile crée rayée,toile cree rayee
toile crée rosconne,toile crée rosconne,toile cree rosconne
toile cretonne,toile cretonne,toile cretonne
toile crin,toile crin,toile crin
toile crise,toile crise,toile crise
toile croisée coutil basin et autres,toile croisée coutil basin et autres,toile croisee coutil basin et autres
toile crue et teinte,toile crue et teinte,toile crue et teinte
toile crue large,toile crue large,toile crue large
toile crue pièces de 20 aunes,toile crue pièces de 20 aunes,toile crue pieces de 20 aunes
toile crue grise et ardoisée,toile crue grise et ardoisée,toile crue grise et ardoisee
toile cunbabis,toile cunbabis,toile cunbabis
toile custas imitant celle des Indes,toile custas imitant celle des indes,toile custas imitant celle des indes
toile d'abas,toile d'abas,toile d'abas
toile d'Alençon,toile d'alençon,toile d'alencon
toile d'Allemagne et Silésie,toile d'allemagne et silésie,toile d'allemagne et silesie
toile damassée de Caux,toile damassée de caux,toile damassee de caux
toile d'amat,toile d'amat,toile d'amat
toile d'Angers,toile d'angers,toile d'angers
toile d'anne,toile d'anne,toile d'anne
toile d'antale large,toile d'antale large,toile d'antale large
toile d'antrain,toile d'antrain,toile d'antrain
toile d'Argouges,toile d'argouges,toile d'argouges
toile d'Artische,toile d'artische,toile d'artische
toile d'Autriche,toile d'autriche,toile d'autriche
toile d'auxonne,toile d'auxonne,toile d'auxonne
toile d'azur bleue,toile d'azur bleue,toile d'azur bleue
toile de ???,toile de ???,toile de ???
toile de demi large,toile de demi large,toile de demi large
toile de 30 aunes,toile de 30 aunes,toile de 30 aunes
toile de 3 aunes de largeur et en dessus,toile de 3 aunes de largeur et en dessus,toile de 3 aunes de largeur et en dessus
toile de 3 aunes pour nappes,toile de 3 aunes pour nappes,toile de 3 aunes pour nappes
toile de 4 fils,toile de 4 fils,toile de 4 fils
toile de 7/8,toile de 7/8,toile de 7/8
toile de balle,toile de balle,toile de balle
toile de basin en fil,toile de basin en fil,toile de basin en fil
toile de basin fil en coton,toile de basin fil en coton,toile de basin fil en coton
toile de bazouges,toile de bazouges,toile de bazouges
toile de Beaujolais,toile de beaujolais,toile de beaujolais
toile de Bézier,toile de bézier,toile de bezier
toile de Bernay,toile de bernay,toile de bernay
toile de blancard,toile de blancard,toile de blancard
toile de bleue,toile de bleue,toile de bleue
toile de Bretagne 3/4,toile de bretagne 3/4,toile de bretagne 3/4
toile de Bretagne 3 aunes,toile de bretagne 3 aunes,toile de bretagne 3 aunes
toile de Bretagne 7/8,toile de bretagne 7/8,toile de bretagne 7/8
toile de Bretagne à 4 fils,toile de bretagne à 4 fils,toile de bretagne a 4 fils
toile de Bretagne à nègre,toile de bretagne à nègre,toile de bretagne a negre
toile de Bretagne bas brin,toile de bretagne bas brin,toile de bretagne bas brin
toile de Bretagne beurrière,toile de bretagne beurrière,toile de bretagne beurriere
toile de Bretagne blanchie,toile de bretagne blanchie,toile de bretagne blanchie
toile de Bretagne cirée large,toile de bretagne cirée large,toile de bretagne ciree large
toile de Bretagne Combourg,toile de bretagne combourg,toile de bretagne combourg
toile de Bretagne commune,toile de bretagne commune,toile de bretagne commune
toile de Bretagne crée étroite,toile de bretagne crée étroite,toile de bretagne cree etroite
toile de Bretagne crée-large,toile de bretagne crée-large,toile de bretagne cree-large
toile de Bretagne crée large de 40 aunes,toile de bretagne crée large de 40 aunes,toile de bretagne cree large de 40 aunes
toile de Bretagne de ???,toile de bretagne de ???,toile de bretagne de ???
toile de Bretagne de 6 fils,toile de bretagne de 6 fils,toile de bretagne de 6 fils
toile de Bretagne de balles,toile de bretagne de balles,toile de bretagne de balles
toile de Bretagne de bazot,toile de bretagne de bazot,toile de bretagne de bazot
toile de Bretagne de challe,toile de bretagne de challe,toile de bretagne de challe
toile de Bretagne de couture,toile de bretagne de couture,toile de bretagne de couture
toile de Bretagne de gratienne,toile de bretagne de gratienne,toile de bretagne de gratienne
toile de Bretagne de Moncontour,toile de bretagne de moncontour,toile de bretagne de moncontour
toile de Bretagne de Mayenne,toile de bretagne de mayenne,toile de bretagne de mayenne
toile de Bretagne de Mortagne ???,toile de bretagne de mortagne ???,toile de bretagne de mortagne ???
toile de Bretagne de Moutier,toile de bretagne de moutier,toile de bretagne de moutier
toile de Bretagne de Noirmoutier,toile de bretagne de noirmoutier,toile de bretagne de noirmoutier
toile de Bretagne de Pontigny,toile de bretagne de pontigny,toile de bretagne de pontigny
toile de Bretagne de quatre fils,toile de bretagne de quatre fils,toile de bretagne de quatre fils
toile de Bretagne de réforme,toile de bretagne de réforme,toile de bretagne de reforme
toile de Bretagne d'Ernée,toile de bretagne d'ernée,toile de bretagne d'ernee
toile de Bretagne de rondelette,toile de bretagne de rondelette,toile de bretagne de rondelette
toile de Bretagne de rousse,toile de bretagne de rousse,toile de bretagne de rousse
toile de Bretagne de sept huit,toile de bretagne de sept huit,toile de bretagne de sept huit
toile de Bretagne de serpillère,toile de bretagne de serpillère,toile de bretagne de serpillere
toile de Bretagne de Saint-???,toile de bretagne de saint-???,toile de bretagne de saint-???
toile de Bretagne de Suvignan,toile de bretagne de suvignan,toile de bretagne de suvignan
toile de Bretagne de Hollande,toile de bretagne de hollande,toile de bretagne de hollande
toile de Bretagne diverse blanche large,toile de bretagne diverse blanche large,toile de bretagne diverse blanche large
toile de Bretagne diverse de Fougères,toile de bretagne diverse de fougères,toile de bretagne diverse de fougeres
toile de Bretagne diverse de rosconne,toile de bretagne diverse de rosconne,toile de bretagne diverse de rosconne
toile de Bretagne diverse écrue,toile de bretagne diverse écrue,toile de bretagne diverse ecrue
toile de Bretagne diverse haut brin,toile de bretagne diverse haut brin,toile de bretagne diverse haut brin
toile de Bretagne diverse pièces larges,toile de bretagne diverse pièces larges,toile de bretagne diverse pieces larges
toile de Bretagne diverse serpillère,toile de bretagne diverse serpillère,toile de bretagne diverse serpillere
toile de Bretagne diverse verges rayées,toile de bretagne diverse verges rayées,toile de bretagne diverse verges rayees
toile de Bretagne diverse verges serpillère,toile de bretagne diverse verges serpillère,toile de bretagne diverse verges serpillere
toile de Bretagne fine claire,toile de bretagne fine claire,toile de bretagne fine claire
toile de Bretagne fine étroite,toile de bretagne fine étroite,toile de bretagne fine etroite
toile de Bretagne fine large,toile de bretagne fine large,toile de bretagne fine large
toile de Bretagne Fougères,toile de bretagne fougères,toile de bretagne fougeres
toile de Bretagne guingans,toile de bretagne guingans,toile de bretagne guingans
toile de Bretagne Locronan,toile de bretagne locronan,toile de bretagne locronan
toile de Bretagne ménage,toile de bretagne ménage,toile de bretagne menage
toile de Bretagne ??? brin,toile de bretagne ??? brin,toile de bretagne ??? brin
toile de Bretagne peinte,toile de bretagne peinte,toile de bretagne peinte
toile de Bretagne Pontivy,toile de bretagne pontivy,toile de bretagne pontivy
toile de Bretagne quatre fils,toile de bretagne quatre fils,toile de bretagne quatre fils
toile de Bretagne reforme,toile de bretagne reforme,toile de bretagne reforme
toile de Bretagne rouge et bleue,toile de bretagne rouge et bleue,toile de bretagne rouge et bleue
toile de Bretagne siamoise,toile de bretagne siamoise,toile de bretagne siamoise
toile de Bretagne Vitré,toile de bretagne vitré,toile de bretagne vitre
toile de brin fine,toile de brin fine,toile de brin fine
toile de caisse,toile de caisse,toile de caisse
toile de Caladric,toile de caladric,toile de caladric
toile de caladaris,toile de caladaris,toile de caladaris
toile de canevas,toile de canevas,toile de canevas
toile de capiton,toile de capiton,toile de capiton
toile de châle,toile de châle,toile de chale
toile de chanvre ???,toile de chanvre ???,toile de chanvre ???
toile de chanvre 1400 lignes,toile de chanvre 1400 lignes,toile de chanvre 1400 lignes
toile de chanvre 1500 lignes,toile de chanvre 1500 lignes,toile de chanvre 1500 lignes
toile de chanvre 1700 lignes,toile de chanvre 1700 lignes,toile de chanvre 1700 lignes
toile de chanvre 450 lignes,toile de chanvre 450 lignes,toile de chanvre 450 lignes
toile de chanvre aune,toile de chanvre aune,toile de chanvre aune
toile de chanvre blanche 398 lignes,toile de chanvre blanche 398 lignes,toile de chanvre blanche 398 lignes
toile de chanvre de bas prix,toile de chanvre de bas prix,toile de chanvre de bas prix
toile de chanvre d'étoupes,toile de chanvre d'étoupes,toile de chanvre d'etoupes
toile de chanvre dite coutil,toile de chanvre dite coutil,toile de chanvre dite coutil
toile de chanvre étoupes,toile de chanvre étoupes,toile de chanvre etoupes
toile de chanvre étoupes grise,toile de chanvre étoupes grise,toile de chanvre etoupes grise
toile de chanvre étoupes grises aune,toile de chanvre étoupes grises aune,toile de chanvre etoupes grises aune
toile de chanvre fine,toile de chanvre fine,toile de chanvre fine
toile de chanvre peinte,toile de chanvre peinte,toile de chanvre peinte
toile de chanvre pour nègre,toile de chanvre pour nègre,toile de chanvre pour negre
toile de chanvre trillin,toile de chanvre trillin,toile de chanvre trillin
toile de Chauvreau,toile de chauvreau,toile de chauvreau
toile de coton à bouquets de laine,toile de coton à bouquets de laine,toile de coton a bouquets de laine
toile de coton bisinette,toile de coton bisinette,toile de coton bisinette
toile de coton blanc aune,toile de coton blanc aune,toile de coton blanc aune
toile de coton blanche bas prix,toile de coton blanche bas prix,toile de coton blanche bas prix
toile blanche dite abati,toile blanche dite abati,toile blanche dite abati
toile blanche dite aman,toile blanche dite aman,toile blanche dite aman
toile blanche dite demitte,toile blanche dite demitte,toile blanche dite demitte
toile blanche dite escanite,toile blanche dite escanite,toile blanche dite escanite
toile blanche dite Guinée,toile blanche dite guinée,toile blanche dite guinee
toile blanche dite large,toile blanche dite large,toile blanche dite large
toile blanche mousseline,toile blanche mousseline,toile blanche mousseline
toile blanche Nankin,toile blanche nankin,toile blanche nankin
toile blanche peinte,toile blanche peinte,toile blanche peinte
toile de coton bleu,toile de coton bleu,toile de coton bleu
toile de coton brodée en laine,toile de coton brodée en laine,toile de coton brodee en laine
toile de coton brodée en soie,toile de coton brodée en soie,toile de coton brodee en soie
toile de coton commune,toile de coton commune,toile de coton commune
toile de coton corroyée,toile de coton corroyée,toile de coton corroyee
toile de coton cotonnette,toile de coton cotonnette,toile de coton cotonnette
toile de coton de duvet,toile de coton de duvet,toile de coton de duvet
toile de coton de France,toile de coton de france,toile de coton de france
toile de coton de la Compagnie,toile de coton de la compagnie,toile de coton de la compagnie
toile de coton dite armanie,toile de coton dite armanie,toile de coton dite armanie
toile de coton dite Guinée,toile de coton dite guinée,toile de coton dite guinee
toile de coton en fil,toile de coton en fil,toile de coton en fil
toile de coton en mousselinette,toile de coton en mousselinette,toile de coton en mousselinette
toile de coton en siamoise,toile de coton en siamoise,toile de coton en siamoise
toile de coton et fil peinte,toile de coton et fil peinte,toile de coton et fil peinte
toile de coton et mousseline,toile de coton et mousseline,toile de coton et mousseline
toile de coton façon de Nankin,toile de coton façon de nankin,toile de coton facon de nankin
toile de coton fleurs,toile de coton fleurs,toile de coton fleurs
toile de coton imprimé,toile de coton imprimé,toile de coton imprime
toile de coton imprimée aune,toile de coton imprimée aune,toile de coton imprimee aune
toile de coton imprimée bas prix,toile de coton imprimée bas prix,toile de coton imprimee bas prix
toile de coton imprimée bas prix aune,toile de coton imprimée bas prix aune,toile de coton imprimee bas prix aune
toile de coton imprimée haut prix,toile de coton imprimée haut prix,toile de coton imprimee haut prix
toile de coton imprimée haut prix aune,toile de coton imprimée haut prix aune,toile de coton imprimee haut prix aune
toile de coton peinte et imprimée aune,toile de coton peinte et imprimée aune,toile de coton peinte et imprimee aune
toile de coton persiste,toile de coton persiste,toile de coton persiste
toile de coton pointe,toile de coton pointe,toile de coton pointe
toile de coton rayée ou unie,toile de coton rayée ou unie,toile de coton rayee ou unie
toile de coton Rouen,toile de coton rouen,toile de coton rouen
toile de coton rousse,toile de coton rousse,toile de coton rousse
toile de coton soyée,toile de coton soyée,toile de coton soyee
toile découpée,toile découpée,toile decoupee
toile de Coutil rayée,toile de coutil rayée,toile de coutil rayee
toile de crin à tamis (rapatelle),toile de crin à tamis (rapatelle),toile de crin a tamis (rapatelle)
toile d'ecripe,toile d'ecripe,toile d'ecripe
toile de demi-Hollande,toile de demi-hollande,toile de demi-hollande
toile de Dinant commune,toile de dinant commune,toile de dinant commune
toile de fil batiste,toile de fil batiste,toile de fil batiste
toile de fil basin,toile de fil basin,toile de fil basin
toile de fil carreaux,toile de fil carreaux,toile de fil carreaux
toile de fil commune de chanvre,toile de fil commune de chanvre,toile de fil commune de chanvre
toile de fil de chanvre,toile de fil de chanvre,toile de fil de chanvre
toile de fil de coton,toile de fil de coton,toile de fil de coton
toile de fil dite guingans,toile de fil dite guingans,toile de fil dite guingans
toile de fil en coutil,toile de fil en coutil,toile de fil en coutil
toile de fil et coton à fleurs,toile de fil et coton à fleurs,toile de fil et coton a fleurs
toile de fil et coton basin,toile de fil et coton basin,toile de fil et coton basin
toile de fil et coton blanche,toile de fil et coton blanche,toile de fil et coton blanche
toile de fil et de coton en siamoise,toile de fil et de coton en siamoise,toile de fil et de coton en siamoise
toile de fil et coton en siamoise blanche,toile de fil et coton en siamoise blanche,toile de fil et coton en siamoise blanche
toile de fil et coton en siamoise imprimée,toile de fil et coton en siamoise imprimée,toile de fil et coton en siamoise imprimee
toile de fil et coton en siamoise teinte,toile de fil et coton en siamoise teinte,toile de fil et coton en siamoise teinte
toile de fil et coton teinte,toile de fil et coton teinte,toile de fil et coton teinte
toile de fil et de coton dite siamoise,toile de fil et de coton dite siamoise,toile de fil et de coton dite siamoise
toile de fil et de coton dire siamoise aune,toile de fil et de coton dire siamoise aune,toile de fil et de coton dire siamoise aune
toile de filezie,toile de filezie,toile de filezie
toile de Flandre delin,toile de flandre delin,toile de flandre delin
toile de fleuret de Rouen,toile de fleuret de rouen,toile de fleuret de rouen
toile de frame,toile de frame,toile de frame
toile de Galle,toile de galle,toile de galle
toile de Gand,toile de gand,toile de gand
toile de gris,toile de gris,toile de gris
toile de Hollande 15 aunes,toile de hollande 15 aunes,toile de hollande 15 aunes
toile de Hollande 30 aunes,toile de hollande 30 aunes,toile de hollande 30 aunes
toile de laine dite herbage,toile de laine dite herbage,toile de laine dite herbage
toile de laiton,toile de laiton,toile de laiton
toile de Landerneau,toile de landerneau,toile de landerneau
toile du Levant diverse,toile du levant diverse,toile du levant diverse
toile de lin à doubler,toile de lin à doubler,toile de lin a doubler
toile de lin à faire drap,toile de lin à faire drap,toile de lin a faire drap
toile de lin au lait,toile de lin au lait,toile de lin au lait
toile de lin batiste en carreaux,toile de lin batiste en carreaux,toile de lin batiste en carreaux
toile de lin Beauvais,toile de lin beauvais,toile de lin beauvais
toile de lin blanche à 10 sols et en dessus aune,toile de lin blanche à 10 sols et en dessus aune,toile de lin blanche a 10 sols et en dessus aune
toile de lin blanche damassée pour nappes et serviettes,toile de lin blanche damassée pour nappes et serviettes,toile de lin blanche damassee pour nappes et serviettes
toile de lin blanche de 12 sols par aune,toile de lin blanche de 12 sols par aune,toile de lin blanche de 12 sols par aune
toile de lin blanche de 20 sols par aune,toile de lin blanche de 20 sols par aune,toile de lin blanche de 20 sols par aune
toile de lin blanche de 2 sols par aune,toile de lin blanche de 2 sols par aune,toile de lin blanche de 2 sols par aune
toile de lin blanche de 30 sols par aune,toile de lin blanche de 30 sols par aune,toile de lin blanche de 30 sols par aune
toile de lin blanche de 8 sols par aune,toile de lin blanche de 8 sols par aune,toile de lin blanche de 8 sols par aune
toile de lin blanche de bas prix,toile de lin blanche de bas prix,toile de lin blanche de bas prix
toile de lin blanche en dessous de 10 sols,toile de lin blanche en dessous de 10 sols,toile de lin blanche en dessous de 10 sols
toile de lin blanche en dessous de 10 sols aune,toile de lin blanche en dessous de 10 sols aune,toile de lin blanche en dessous de 10 sols aune
toile de lin blanche pour nappes et serviettes,toile de lin blanche pour nappes et serviettes,toile de lin blanche pour nappes et serviettes
toile de lin bleue et blanche,toile de lin bleue et blanche,toile de lin bleue et blanche
toile de lin brochée,toile de lin brochée,toile de lin brochee
toile de lin cirée,toile de lin cirée,toile de lin ciree
toile de lin claire,toile de lin claire,toile de lin claire
toile de lin coutel,toile de lin coutel,toile de lin coutel
toile de lin d'Abbeville,toile de lin d'abbeville,toile de lin d'abbeville
toile de lin d'Amiens,toile de lin d'amiens,toile de lin d'amiens
toile de lin d'Arras,toile de lin d'arras,toile de lin d'arras
toile de lin de 13 aunes,toile de lin de 13 aunes,toile de lin de 13 aunes
toile de lin de 15 aunes,toile de lin de 15 aunes,toile de lin de 15 aunes
toile de lin de Beaujolais,toile de lin de beaujolais,toile de lin de beaujolais
toile de lin de Bernay,toile de lin de bernay,toile de lin de bernay
toile de lin de châles,toile de lin de châles,toile de lin de chales
toile de lin de Frise,toile de lin de frise,toile de lin de frise
toile de lin de Gand,toile de lin de gand,toile de lin de gand
toile de lin d'emballage,toile de lin d'emballage,toile de lin d'emballage
toile de lin de Russie,toile de lin de russie,toile de lin de russie
toile de lin de Senlis,toile de lin de senlis,toile de lin de senlis
toile de lin de Servins,toile de lin de servins,toile de lin de servins
toile de lin de Saint-Malo,toile de lin de saint-malo,toile de lin de saint-malo
toile de lin de Suisse,toile de lin de suisse,toile de lin de suisse
toile de lin de toute sorte,toile de lin de toute sorte,toile de lin de toute sorte
toile de lin dite linon,toile de lin dite linon,toile de lin dite linon
toile de lin dite platille,toile de lin dite platille,toile de lin dite platille
toile de lin en batiste,toile de lin en batiste,toile de lin en batiste
toile de lin en claire,toile de lin en claire,toile de lin en claire
toile de lin en sacs,toile de lin en sacs,toile de lin en sacs
toile de linet,toile de linet,toile de linet
toile de lin et de chanvre à matelas,toile de lin et de chanvre à matelas,toile de lin et de chanvre a matelas
toile de lin et de chanvre blanche,toile de lin et de chanvre blanche,toile de lin et de chanvre blanche
toile de lin et de chanvre blanche de 13 à 20 fils,toile de lin et de chanvre blanche de 13 à 20 fils,toile de lin et de chanvre blanche de 13 a 20 fils
toile de lin et de chanvre blanche de 20 fils et au-dessus,toile de lin et de chanvre blanche de 20 fils et au-dessus,toile de lin et de chanvre blanche de 20 fils et au-dessus
toile de lin et de chanvre blanche de moins de 13 fils,toile de lin et de chanvre blanche de moins de 13 fils,toile de lin et de chanvre blanche de moins de 13 fils
toile de lin et de chanvre blanche sans distinction d'espèce,toile de lin et de chanvre blanche sans distinction d'espèce,toile de lin et de chanvre blanche sans distinction d'espece
toile de lin et de chanvre cirée de 13 à 20 fils,toile de lin et de chanvre cirée de 13 à 20 fils,toile de lin et de chanvre ciree de 13 a 20 fils
toile de lin et de chanvre cirée de 20 fils et au-dessus,toile de lin et de chanvre cirée de 20 fils et au-dessus,toile de lin et de chanvre ciree de 20 fils et au-dessus
toile de lin et de chanvre cirée de 8 à 13 fils,toile de lin et de chanvre cirée de 8 à 13 fils,toile de lin et de chanvre ciree de 8 a 13 fils
toile de lin et de chanvre cirée de moins de 8 fils,toile de lin et de chanvre cirée de moins de 8 fils,toile de lin et de chanvre ciree de moins de 8 fils
toile de lin et de chanvre croisée coutil basin et autres,toile de lin et de chanvre croisée coutil basin et autres,toile de lin et de chanvre croisee coutil basin et autres
toile de lin et de chanvre écrue apprêtée de 13 à 20 fils,toile de lin et de chanvre écrue apprêtée de 13 à 20 fils,toile de lin et de chanvre ecrue appretee de 13 a 20 fils
toile de lin et de chanvre écrue apprêtée de 20 fils et au-dessus,toile de lin et de chanvre écrue apprêtée de 20 fils et au-dessus,toile de lin et de chanvre ecrue appretee de 20 fils et au-dessus
toile de lin et de chanvre écrue apprêtée de 8 à 13 fils,toile de lin et de chanvre écrue apprêtée de 8 à 13 fils,toile de lin et de chanvre ecrue appretee de 8 a 13 fils
toile de lin et de chanvre écrue apprêtée de moins de 8 fils,toile de lin et de chanvre écrue apprêtée de moins de 8 fils,toile de lin et de chanvre ecrue appretee de moins de 8 fils
toile de lin et de chanvre écrue à voile sans distinction d'espèce,toile de lin et de chanvre écrue à voile sans distinction d'espèce,toile de lin et de chanvre ecrue a voile sans distinction d'espece
toile de lin et de chanvre écrue sans apprêt de 13 à 20 fils,toile de lin et de chanvre écrue sans apprêt de 13 à 20 fils,toile de lin et de chanvre ecrue sans appret de 13 a 20 fils
toile de lin et de chanvre écrue sans apprêt de 20 fils et au-dessus,toile de lin et de chanvre écrue sans apprêt de 20 fils et au-dessus,toile de lin et de chanvre ecrue sans appret de 20 fils et au-dessus
toile de lin et de chanvre écrue sans apprêt de 8 à 13 fils,toile de lin et de chanvre écrue sans apprêt de 8 à 13 fils,toile de lin et de chanvre ecrue sans appret de 8 a 13 fils
toile de lin et de chanvre écrue sans apprêt de moins de 8 fils,toile de lin et de chanvre écrue sans apprêt de moins de 8 fils,toile de lin et de chanvre ecrue sans appret de moins de 8 fils
toile de lin et de chanvre imprimée de 13 à 20 fils,toile de lin et de chanvre imprimée de 13 à 20 fils,toile de lin et de chanvre imprimee de 13 a 20 fils
toile de lin et de chanvre mi-blanche,toile de lin et de chanvre mi-blanche,toile de lin et de chanvre mi-blanche
toile de lin et de chanvre peinte sur enduit pour tapisserie,toile de lin et de chanvre peinte sur enduit pour tapisserie,toile de lin et de chanvre peinte sur enduit pour tapisserie
toile de lin et de chanvre teinte de 13 à 20 fils,toile de lin et de chanvre teinte de 13 à 20 fils,toile de lin et de chanvre teinte de 13 a 20 fils
toile de lin et de chanvre teinte de 20 fils et au-dessus,toile de lin et de chanvre teinte de 20 fils et au-dessus,toile de lin et de chanvre teinte de 20 fils et au-dessus
toile de lin et de chanvre teinte de 8 à 13 fils,toile de lin et de chanvre teinte de 8 à 13 fils,toile de lin et de chanvre teinte de 8 a 13 fils
toile de lin et de chanvre teinte de moins de 8 fils,toile de lin et de chanvre teinte de moins de 8 fils,toile de lin et de chanvre teinte de moins de 8 fils
toile de lin fil d'épreuve,toile de lin fil d'épreuve,toile de lin fil d'epreuve
toile de lin fin,toile de lin fin,toile de lin fin
toile de lin fine à carreaux,toile de lin fine à carreaux,toile de lin fine a carreaux
toile de lin fine à drap,toile de lin fine à drap,toile de lin fine a drap
toile de lin fine de ???,toile de lin fine de ???,toile de lin fine de ???
toile de lin fine de Cambrai,toile de lin fine de cambrai,toile de lin fine de cambrai
toile de lin fine de Hollande,toile de lin fine de hollande,toile de lin fine de hollande
toile de lin fine de Saint-Quentin,toile de lin fine de saint-quentin,toile de lin fine de saint-quentin
toile de lin fine de Valenciennes,toile de lin fine de valenciennes,toile de lin fine de valenciennes
toile de linge de tables à serviettes,toile de linge de tables à serviettes,toile de linge de tables a serviettes
toile de linge de tables divers,toile de linge de tables divers,toile de linge de tables divers
toile de linge de tables nappes ouvrées,toile de linge de tables nappes ouvrées,toile de linge de tables nappes ouvrees
toile de linge de tables serviettes,toile de linge de tables serviettes,toile de linge de tables serviettes
toile de linge de tables serviettes communes,toile de linge de tables serviettes communes,toile de linge de tables serviettes communes
toile de linge de tables serviettes d'étoupes,toile de linge de tables serviettes d'étoupes,toile de linge de tables serviettes d'etoupes
toile de lingerie,toile de lingerie,toile de lingerie
toile de lin grasse,toile de lin grasse,toile de lin grasse
toile de lin grosse écrue,toile de lin grosse écrue,toile de lin grosse ecrue
toile de lin grosse pointe,toile de lin grosse pointe,toile de lin grosse pointe
toile de lin Hollande,toile de lin hollande,toile de lin hollande
toile de lin indigo,toile de lin indigo,toile de lin indigo
toile de lin latille,toile de lin latille,toile de lin latille
toile de lin linon brodée,toile de lin linon brodée,toile de lin linon brodee
